STATION,NAME,DATE,DATN,WINDSPEED,HUMIDITY,RAINFALL,PRCP,TAVG,TMAX,TMIN
ASN00086282,"MELBOURNE AIRPORT, AS",29/9/2000,,20,57,2.4,0.02,56,69,56
ASN00086282,"MELBOURNE AIRPORT, AS",30/9/2000,,20,66,0,0,51,63,45
ASN00086282,"MELBOURNE AIRPORT, AS",1/10/2000,,26,24,0,0.1,49,55,42
ASN00086282,"MELBOURNE AIRPORT, AS",2/10/2000,,13,63,0,0.04,54,62,43
ASN00086282,"MELBOURNE AIRPORT, AS",3/10/2000,,20,63,0,0,53,64,49
ASN00086282,"MELBOURNE AIRPORT, AS",4/10/2000,,26,61,0,0,62,73,43
ASN00086282,"MELBOURNE AIRPORT, AS",5/10/2000,,30,71,0,0,68,77,53
ASN00086282,"MELBOURNE AIRPORT, AS",6/10/2000,,26,67,0,0,60,65,59
ASN00086282,"MELBOURNE AIRPORT, AS",7/10/2000,,44,40,0,0,55,64,55
ASN00086282,"MELBOURNE AIRPORT, AS",8/10/2000,,28,67,2.8,0.1,48,60,42
